학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 1학기,컴바이오믹스개론,목15:00-16:15【61208】【1.5h(ON)+1.5h(OFF)】,목15:00-16:15【61208】【1.5h(ON)+1.5h(OFF)】,일반수업,61,34,1
2024학년도 1학기,머신러닝통계학,목16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,목16:30-17:45【62355】【1.5h(ON)+1.5h(OFF)】,국제어수업,62,23,1
2024학년도 1학기,생물학을위한R및Python프로그래밍,"수09:00-10:15【51152】,수10:30-11:45【51152】","수09:00-10:15【51152】,수10:30-11:45【51152】",국제어수업,51,3,1
2024학년도 1학기,생화학,금10:30-11:45【62355】【1.5h(ON)+1.5h(OFF)】,금10:30-11:45【62355】【1.5h(ON)+1.5h(OFF)】,일반수업,62,89,1
2024학년도 1학기,미생물학,목12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,목12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,국제어수업,62,0,0
2024학년도 1학기,유전학,"금12:00-13:15【62355】,금13:30-14:45【62355】","금12:00-13:15【62355】,금13:30-14:45【62355】",국제어수업,62,44,1
2024학년도 1학기,분자생물학,"화09:00-10:15【62355】,화10:30-11:45【62355】","화09:00-10:15【62355】,화10:30-11:45【62355】",일반수업,62,0,0
2024학년도 1학기,면역학,"금15:00-16:15【62355】,금16:30-17:45【62355】","금15:00-16:15【62355】,금16:30-17:45【62355】",일반수업,62,59,1
2024학년도 1학기,융합세포생물학,수12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,수12:00-13:15【62355】【1.5h(ON)+1.5h(OFF)】,일반수업,62,14,1
2024학년도 1학기,자료구조개론,"월09:00-10:15【미지정】,수10:30-11:45【미지정】","월09:00-10:15【미지정】,수10:30-11:45【미지정】",국제어수업,0,242,4
2024학년도 1학기,자료구조개론,"수09:00-10:15【85602】,수10:30-11:45【85602】","수09:00-10:15【85602】,수10:30-11:45【85602】",국제어수업,85,242,4
2024학년도 1학기,자료구조개론,"화15:00-16:15【85602】,목16:30-17:45【85602】【1h(ON)+3h(OFF)[4시간]】","화15:00-16:15【85602】,목16:30-17:45【85602】【1h(ON)+3h(OFF)[4시간]】",국제어수업,85,242,4
2024학년도 1학기,알고리즘개론,"월12:00-13:15【26310】,수13:30-14:45【26310】","월12:00-13:15【26310】,수13:30-14:45【26310】",일반수업,26,147,2
2024학년도 1학기,알고리즘개론,"월13:30-14:45【미지정】,수12:00-13:15【미지정】","월13:30-14:45【미지정】,수12:00-13:15【미지정】",국제어수업,0,147,2
2024학년도 1학기,심층신경망개론,화13:30-14:45【85602】【1.5h(ON)+1.5h(OFF)】,화13:30-14:45【85602】【1.5h(ON)+1.5h(OFF)】,국제어수업,85,64,1
