학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 1학기,시스템프로그램,"월10:30-11:45【26310】,수09:00-10:15【26310】","월10:30-11:45【26310】,수09:00-10:15【26310】",국제어수업,26,180,3
2024학년도 1학기,시스템프로그램,"월10:30-11:45【26312】,수09:00-10:15【26312】","월10:30-11:45【26312】,수09:00-10:15【26312】",국제어수업,26,180,3
2024학년도 1학기,시스템프로그램,"화12:00-13:15【미지정】,목13:30-14:45【미지정】","화12:00-13:15【미지정】,목13:30-14:45【미지정】",국제어수업,0,180,3
2024학년도 1학기,자료구조개론,"월09:00-10:15【미지정】,수10:30-11:45【미지정】","월09:00-10:15【미지정】,수10:30-11:45【미지정】",국제어수업,0,242,4
2024학년도 1학기,자료구조개론,"수09:00-10:15【85602】,수10:30-11:45【85602】","수09:00-10:15【85602】,수10:30-11:45【85602】",국제어수업,85,242,4
2024학년도 1학기,자료구조개론,"화15:00-16:15【85602】,목16:30-17:45【85602】【1h(ON)+3h(OFF)[4시간]】","화15:00-16:15【85602】,목16:30-17:45【85602】【1h(ON)+3h(OFF)[4시간]】",국제어수업,85,242,4
2024학년도 1학기,알고리즘개론,"월12:00-13:15【26310】,수13:30-14:45【26310】","월12:00-13:15【26310】,수13:30-14:45【26310】",일반수업,26,0,0
2024학년도 1학기,알고리즘개론,"월13:30-14:45【미지정】,수12:00-13:15【미지정】","월13:30-14:45【미지정】,수12:00-13:15【미지정】",국제어수업,0,0,0
2024학년도 1학기,문제해결,"화09:00-10:15【22410】,목10:30-11:45【22410】","화09:00-10:15【22410】,목10:30-11:45【22410】",일반수업,22,0,0
2024학년도 1학기,소프트웨어공학개론,금15:00-16:15【85613】【1.5h(ON)+1.5h(OFF)】,금15:00-16:15【85613】【1.5h(ON)+1.5h(OFF)】,일반수업,85,0,0
2024학년도 1학기,소프트웨어공학개론,"화10:30-11:45【미지정】,목09:00-10:15【미지정】","화10:30-11:45【미지정】,목09:00-10:15【미지정】",국제어수업,0,0,0
2024학년도 1학기,데이터베이스개론,"월12:00-13:15【85613】,수13:30-14:45【85613】","월12:00-13:15【85613】,수13:30-14:45【85613】",일반수업,85,228,3
2024학년도 1학기,데이터베이스개론,"월12:00-13:15【330118】,수13:30-14:45【330118】","월12:00-13:15【330118】,수13:30-14:45【330118】",국제어수업,33,228,3
2024학년도 1학기,데이터베이스개론,"금09:00-10:15【미지정】,금10:30-11:45【미지정】","금09:00-10:15【미지정】,금10:30-11:45【미지정】",일반수업,0,228,3
2024학년도 1학기,운영체제,"화15:00-16:15【23217】,목16:30-17:45【23217】","화15:00-16:15【23217】,목16:30-17:45【23217】",일반수업,23,151,2
2024학년도 1학기,운영체제,"화12:00-13:15【85602】,목13:30-14:45【85602】","화12:00-13:15【85602】,목13:30-14:45【85602】",일반수업,85,151,2
2024학년도 1학기,컴퓨터구조개론,"화13:30-14:45【23217】,목12:00-13:15【23217】","화13:30-14:45【23217】,목12:00-13:15【23217】",국제어수업,23,0,0
2024학년도 1학기,프로그래밍언어,수12:00-13:15【330110】【1.5h(ON)+1.5h(OFF)】,수12:00-13:15【330110】【1.5h(ON)+1.5h(OFF)】,국제어수업,33,171,2
2024학년도 1학기,프로그래밍언어,목15:00-16:15【330110】【1.5h(ON)+1.5h(OFF)】,목15:00-16:15【330110】【1.5h(ON)+1.5h(OFF)】,일반수업,33,171,2
2024학년도 1학기,인공지능개론,"월09:00-10:15【미지정】,수10:30-11:45【미지정】","월09:00-10:15【미지정】,수10:30-11:45【미지정】",국제어수업,0,166,2
2024학년도 1학기,인공지능개론,월10:30-11:45【400102】【1.5h(ON)+1.5h(OFF)】,월10:30-11:45【400102】【1.5h(ON)+1.5h(OFF)】,일반수업,40,166,2
2024학년도 1학기,컴퓨터네트웍개론,"월16:30-17:45【26312】,수15:00-16:15【26312】","월16:30-17:45【26312】,수15:00-16:15【26312】",일반수업,26,142,2
2024학년도 1학기,컴퓨터네트웍개론,월13:30-14:45【26310】【1.5h(ON)+1.5h(OFF)】,월13:30-14:45【26310】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,142,2
2024학년도 1학기,정보보호개론,"화13:30-14:45【26310】,목12:00-13:15【26310】","화13:30-14:45【26310】,목12:00-13:15【26310】",일반수업,26,29,1
2024학년도 1학기,확률과랜덤프로세스,목13:30-14:45【26310】【1.5h(ON)+1.5h(OFF)】,목13:30-14:45【26310】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,81,1
2024학년도 1학기,빅데이터분석방법론,"금15:00-16:15【26310】,금16:30-17:45【26310】","금15:00-16:15【26310】,금16:30-17:45【26310】",국제어수업,26,57,1
2024학년도 1학기,기계학습원론,"월16:30-17:45【26515】,수15:00-16:15【26515】","월16:30-17:45【26515】,수15:00-16:15【26515】",국제어수업,26,100,1
2024학년도 1학기,컴퓨터비전개론,월12:00-13:15【85602】【1.5h(ON)+1.5h(OFF)】,월12:00-13:15【85602】【1.5h(ON)+1.5h(OFF)】,일반수업,85,67,1
2024학년도 1학기,심층신경망개론,화13:30-14:45【85602】【1.5h(ON)+1.5h(OFF)】,화13:30-14:45【85602】【1.5h(ON)+1.5h(OFF)】,국제어수업,85,64,1
